HASH,METHOD,ADDONS,STATS,DATE
aac6346b61224337a92b085e687c83964f961b2cfb3679403febaeb562682a05f7b0943daa57943f451efe9c8163d626cd7d7fe26e27af7a0c2fde52f9de5ac7,SKEEP,NULL,,18032022
8c05b2e362091ca3d46b5584aa0ff7d1545f8de0dfb8d03ea4b371eb136109a6cafaa100aadf746a653f2cc58d440c8417a14c33cb5a64f45bb6b9555621d6d2,SKEEP,NULL,,18032022
8b1f1e7ee9e6437a613c1053116c6388125e33be0eead5b9b319523267ddbdcbabcd4ab6c5beb53b4b4bc72c34c39c6f72ab5a690c93b656dd0f239a83f0618e,SKEEP,NULL,,18032022
902af2145a11974280bf0ee78f89890b532b65295d9ce1dd9fd33bad8d83a5b25b91b4223bf592f9f5c87b8b46e69d0bc33b5238b1b7d65e71b6308f7f29d745,SKEEP,NULL,,18032022
3f7d6a6f668942cff59624954c7f35691f05452429de9aafc4743494ddff32babf554163112ab958ea00a6945d53bb2c3198633f7dc66ab208ac917446bf1453,autoreconf -i && ./configure,,ERR,18032022
3f7d6a6f668942cff59624954c7f35691f05452429de9aafc4743494ddff32babf554163112ab958ea00a6945d53bb2c3198633f7dc66ab208ac917446bf1453,cmake ./,,ERR,18032022
53b8fd72cd37dee4f66679c3735e9b6d05bcc109c30cc14a65d60f91827f665a2a032fc30cc85258b7195908cd98fa1045eaa62f3cce6ae57b49b3ca7727f5bd,./autogen.sh && ./configure,,OK,18032022
53b8fd72cd37dee4f66679c3735e9b6d05bcc109c30cc14a65d60f91827f665a2a032fc30cc85258b7195908cd98fa1045eaa62f3cce6ae57b49b3ca7727f5bd,autoreconf -i && ./configure,,OK,18032022
53b8fd72cd37dee4f66679c3735e9b6d05bcc109c30cc14a65d60f91827f665a2a032fc30cc85258b7195908cd98fa1045eaa62f3cce6ae57b49b3ca7727f5bd,cmake ./,,OK,18032022
e7946694648d8558203f43528a5eab08203bb8f26f85259b280f1a8a3b18db0f73aa3888f50e6aa8f5fbfc07a8829e5a74d4b6c51f926e36e3ef333063e2c335,SKEEP,NULL,,18032022
efb406fcb84be2788a76a592d5bd9896f203639c18558950179e70c3341a3f3ed9241f62472e5a4b39aa4877fbeb6e48fad8b57017120e7469135b15f471b83e,SKEEP,NULL,,18032022
