HASH,Assembly,C,C++,C#,Python,Java,Ruby,PHP,Go,JavaScript,CodeQl,Other
8c05b2e362091ca3d46b5584aa0ff7d1545f8de0dfb8d03ea4b371eb136109a6cafaa100aadf746a653f2cc58d440c8417a14c33cb5a64f45bb6b9555621d6d2,0,0,0,0,0,0,0,0,0,0,0,0
8b1f1e7ee9e6437a613c1053116c6388125e33be0eead5b9b319523267ddbdcbabcd4ab6c5beb53b4b4bc72c34c39c6f72ab5a690c93b656dd0f239a83f0618e,0,1.87,91.63,0,5.1,0,0,0,1.02,0.32,0,0.06
902af2145a11974280bf0ee78f89890b532b65295d9ce1dd9fd33bad8d83a5b25b91b4223bf592f9f5c87b8b46e69d0bc33b5238b1b7d65e71b6308f7f29d745,0.93,98.19,0.03,0,0.12,0,0,0,0,0,0,0.7300000000000001
3f7d6a6f668942cff59624954c7f35691f05452429de9aafc4743494ddff32babf554163112ab958ea00a6945d53bb2c3198633f7dc66ab208ac917446bf1453,0,91.11,0,0,4.79,0,0,0.11,0,0.01,0,3.9799999999999995
53b8fd72cd37dee4f66679c3735e9b6d05bcc109c30cc14a65d60f91827f665a2a032fc30cc85258b7195908cd98fa1045eaa62f3cce6ae57b49b3ca7727f5bd,0,92.49,0,0,0.81,0,0.0,0,0,0,0,6.6899999999999995
e7946694648d8558203f43528a5eab08203bb8f26f85259b280f1a8a3b18db0f73aa3888f50e6aa8f5fbfc07a8829e5a74d4b6c51f926e36e3ef333063e2c335,0,50.56,0,0,0,0,0,0,0,0,0,49.44
efb406fcb84be2788a76a592d5bd9896f203639c18558950179e70c3341a3f3ed9241f62472e5a4b39aa4877fbeb6e48fad8b57017120e7469135b15f471b83e,0,92.35,0,0,0,0,0,0,0,0,0,7.639999999999999
cfe973c89ecf00bc79d5fb8e44684ee896354c1fb27f470428463e91fe7ea6161356195d114f45e3a545679a6252615c48309093a61e9dec63869a4690a6c70e,0,97.37,0.62,0,0,0,0,0,0,0,0,2.0100000000000002
2449b6554e8219201af2b907a0b09b96f9d723e13056891c8ad13056b0ae489695b4671bd0a1c065ec379634feb39dfb44848c7c8174b221dcb13dcb59ebf229,0,81.05,0.35,0,0,0,0,0,0,0,0,18.59
f02586b0aebacb0651fc52eac78482e53747b351e4d47a7cbc3954e732b51cb30b15b0d11cc05c805a80d3a37448c748e5240166f0cc95117cc3fd45d01d516d,0,96.01,0,0,0.12,0,0,0.02,0,0.09,0,3.77
3a9220c3c30c34f8fe03558fbe764ba49cb65c22956186d475e10608800620bf785d83e2b08f1d85163bf76358c232e37a4d5f05a4d5ee3a73624add6d93abb1,0,79.01,0.02,0,1.29,0,0,0,0,0,0,19.660000000000004
7219a43de2ce16450382686c90704905202cfdc87447569b44484a7932c83105d7b1fa50752851aa72fb100deac94261a5294890c06f7e8d0fd852827f7e83ae,0,74.35,2.47,0,0,0,0,0,0,0,0,23.19
469955b51bc53e245d273f3798d34a378645ee5f45b4fc8019ca4f13c932c855e30e5fac374cbc03eb7500631e84c5d1ba55a9212fd1d7d7633c7dbf231f182f,0.02,77.75,0.04,0,0.46,0,0.27,0,0,0,0,21.459999999999997
46c909d572a80002b3683096495b780c2bfef936594a29c21d87bb7fbf3fa2145341b7b057a1f093714fcc82600b07711550660f9e1af1dcbe3725676167ed33,30.04,53.34,0.46,0,0,4.0,0,0,0,0.01,0,12.149999999999999
575ee20f2bdf25c65d514292b2e41e0c03ba776f48449ceb729bc48ba940a8f8ec7225f93b13192b08c8011f0f270e307bd7b40f7b0b2809ad0156b22c47773d,0.39,76.66,0,0,0,0,0,0,0,0,0,22.94
cdf445bce30d8db3e1b3825ff62b7dcb4fd25c26fdc7a9103c925a89b19181ed7555302d961c81f88ecc6afd5e322372d04c40e90c22f286fc00c8747c894a38,0.29,69.18,0,0,0,0,0,0,0,0,0,30.539999999999996
